FID,Join_Count,TARGET_FID,Id,osm_id,code,fclass,name,ref,oneway,maxspeed,layer,bridge,tunnel,pid,Lon,Lat
250,2,521,0,234791697,5153,footway, , ,B,0,0,F,F,1,113.281436,23.132094
251,3,523,0,295824004,5153,footway, , ,B,0,0,F,F,1,113.281541,23.132865
252,3,524,0,295768190,5153,footway, , ,B,0,0,F,F,1,113.281549,23.129996
253,2,525,0,307860237,5122,residential,麓苑路, ,B,0,0,F,F,1,113.281787,23.143835
254,3,526,0,295768190,5153,footway, , ,B,0,0,F,F,1,113.281556,23.130037
255,3,527,0,295768190,5153,footway, , ,B,0,0,F,F,1,113.281565,23.130088
256,2,528,0,294832089,5153,footway, , ,B,0,0,T,F,1,113.281636,23.132094
257,3,529,0,437105807,5122,residential, , ,B,0,0,F,F,1,113.281033,23.094978
258,3,530,0,295768190,5153,footway, , ,B,0,0,F,F,1,113.281639,23.130709
259,3,531,0,295768190,5153,footway, , ,B,0,0,F,F,1,113.28165,23.130843
260,3,532,0,248663054,5122,residential,淘金街, ,B,0,0,F,F,1,113.281892,23.143128
261,3,534,0,295776968,5153,footway, , ,B,0,0,F,F,1,113.281676,23.129575
262,2,535,0,295768190,5153,footway, , ,B,0,0,F,F,1,113.281707,23.131237
263,3,536,0,295776968,5153,footway, , ,B,0,0,F,F,1,113.281685,23.12973
264,3,538,0,294806431,5153,footway, , ,B,0,0,F,F,1,113.281687,23.129393
265,3,539,0,295776968,5153,footway, , ,B,0,0,F,F,1,113.281712,23.129987
266,3,540,0,437105813,5153,footway, , ,B,0,0,F,F,1,113.281119,23.094683
267,3,541,0,294832088,5153,footway, , ,B,0,0,F,F,1,113.281755,23.132095
268,2,542,0,295768191,5153,footway, , ,B,0,0,T,F,1,113.281755,23.131994
269,3,544,0,437105809,5153,footway, , ,B,0,0,F,F,1,113.281185,23.095419
270,2,546,0,294832088,5153,footway, , ,B,0,0,F,F,1,113.281857,23.132095
271,3,548,0,294842690,5153,footway, , ,B,0,0,F,F,1,113.281894,23.133036
272,3,549,0,248663054,5122,residential,淘金街, ,B,0,0,F,F,1,113.282059,23.141993
273,3,550,0,295776970,5153,footway, , ,B,0,0,F,F,1,113.281874,23.129563
274,2,551,0,294832090,5153,footway, , ,B,0,0,T,F,1,113.281991,23.132095
275,3,552,0,437105808,5122,residential, , ,B,0,0,F,F,1,113.281353,23.09404
276,3,553,0,294806431,5153,footway, , ,B,0,0,F,F,1,113.282011,23.129503
277,3,554,0,438553345,5122,residential, , ,B,0,0,F,F,1,113.281428,23.093634
278,3,555,0,437105808,5122,residential, , ,B,0,0,F,F,1,113.28147,23.094333
279,4,556,0,294832091,5153,footway, , ,B,0,0,F,F,1,113.282127,23.132096
280,2,557,0,294806432,5153,footway, , ,B,0,0,F,F,1,113.282213,23.131674
281,4,560,0,300218846,5115,tertiary,淘金北路, ,F,0,0,F,F,1,113.282517,23.146
282,2,561,0,107392221,5115,tertiary,淘金北路, ,F,0,0,F,F,1,113.28249,23.144175
283,3,562,0,300218846,5115,tertiary,淘金北路, ,F,0,0,F,F,1,113.282524,23.145232
284,2,563,0,300218845,5115,tertiary,淘金北路, ,F,0,0,F,T,1,113.282517,23.144311
285,2,564,0,440619832,5115,tertiary,淘金北路, ,B,0,0,F,F,1,113.282512,23.143669
286,3,565,0,294806432,5153,footway, , ,B,0,0,F,F,1,113.282301,23.131134
287,3,566,0,300218846,5115,tertiary,淘金北路, ,F,0,0,F,F,1,113.282532,23.144414
288,3,568,0,437105810,5153,footway, , ,B,0,0,F,F,1,113.281727,23.094301
289,3,569,0,294806432,5153,footway, , ,B,0,0,F,F,1,113.282366,23.131374
290,3,570,0,438553345,5122,residential, , ,B,0,0,F,F,1,113.281735,23.093694
291,3,571,0,307860238,5155,steps, , ,B,0,0,F,F,1,113.282676,23.143241
292,4,574,0,294832091,5153,footway, , ,B,0,0,F,F,1,113.282605,23.132091
293,2,576,0,247979169,5122,residential,淘金路, ,B,0,0,F,F,1,113.282815,23.142438
294,3,577,0,437105812,5153,footway, , ,B,0,0,F,F,1,113.282114,23.095131
295,3,578,0,438553345,5122,residential, , ,B,0,0,F,F,1,113.282136,23.093779
296,3,579,0,294686213,5141,service, , ,B,0,0,F,F,1,113.282902,23.128967
297,3,580,0,295824006,5153,footway, , ,B,0,0,F,F,1,113.28301,23.132859
298,3,581,0,310767995,5141,service, , ,B,0,0,F,F,1,113.283247,23.1419
299,3,582,0,107392228,5122,residential,正平北街, ,T,0,0,F,F,1,113.283325,23.146006
300,4,583,0,107392234,5122,residential,Zhengmian 1 Xiang, ,B,0,0,F,F,1,113.283335,23.14521
301,3,584,0,107392225,5122,residential,正平南街, ,B,0,0,F,F,1,113.28333,23.14444
302,3,585,0,295824007,5153,footway, , ,B,0,0,F,F,1,113.283124,23.13209
303,3,588,0,294686213,5141,service, , ,B,0,0,F,F,1,113.283135,23.129764
304,2,589,0,438553345,5122,residential, , ,B,0,0,F,F,1,113.282541,23.093887
305,3,591,0,434838403,5122,residential, , ,B,0,0,F,F,1,113.282573,23.091864
306,3,592,0,294686213,5141,service, , ,B,0,0,F,F,1,113.283421,23.129959
307,3,595,0,437105810,5153,footway, , ,B,0,0,F,F,1,113.282921,23.094688
308,2,598,0,347626230,5122,residential, , ,B,0,0,F,F,1,113.283131,23.103814
309,3,599,0,434838405,5122,residential, , ,B,0,0,F,F,1,113.282975,23.091987
